#cnum	V	H	C	MunH	MunV	L*	a*	b*	prob
141	A	0	0	10.00RP	9.5	96.0	-0.06	0.06	0.0
274	B	0	0	10.00RP	9.0	91.08	-0.05	0.06	0.03047049330024859
129	B	1	2	2.50R	9.0	91.08	5.53	2.22	0.0
230	B	2	2	5.00R	9.0	91.08	5.51	3.28	0.0
302	B	3	2	7.50R	9.0	91.08	5.54	4.46	0.0
324	B	4	2	10.00R	9.0	91.08	5.43	5.64	0.0
27	B	5	2	2.50YR	9.0	91.08	5.21	7.67	0.0
290	B	6	2	5.00YR	9.0	91.08	4.3	10.08	0.0
92	B	7	2	7.50YR	9.0	91.08	3.14	12.37	0.0
66	B	8	2	10.00YR	9.0	91.08	1.28	14.41	0.0
83	B	9	4	2.50Y	9.0	91.08	-0.46	29.79	0.0
22	B	10	6	5.00Y	9.0	91.08	-5.25	45.24	0.0
242	B	11	6	7.50Y	9.0	91.08	-9.03	45.94	0.0
106	B	12	6	10.00Y	9.0	91.08	-12.17	45.9	0.0
177	B	13	6	2.50GY	9.0	91.08	-16.65	44.66	0.0
260	B	14	4	5.00GY	9.0	91.08	-14.67	29.61	0.0
206	B	15	2	7.50GY	9.0	91.08	-10.76	13.38	0.0
52	B	16	2	10.00GY	9.0	91.08	-12.29	10.56	0.0
199	B	17	2	2.50G	9.0	91.08	-13.13	7.63	0.0
95	B	18	2	5.00G	9.0	91.08	-13.24	5.48	0.0
293	B	19	2	7.50G	9.0	91.08	-13.22	3.82	0.0
219	B	20	2	10.00G	9.0	91.08	-12.96	2.42	0.0
108	B	21	2	2.50BG	9.0	91.08	-12.69	1.23	0.0
330	B	22	2	5.00BG	9.0	91.08	-11.94	-0.27	0.0
221	B	23	2	7.50BG	9.0	91.08	-10.86	-2.13	0.0
284	B	24	2	10.00BG	9.0	91.08	-9.69	-3.22	0.0
327	B	25	2	2.50B	9.0	91.08	-7.96	-4.41	0.0
244	B	26	2	5.00B	9.0	91.08	-6.32	-5.08	0.0
294	B	27	2	7.50B	9.0	91.08	-4.65	-5.34	0.0
